DVD,HHS,total,totalA,totalB
201221,9,392,5,10
201221,10,393,7,38
201222,1,143,2,0
201222,2,102,0,3
201222,3,220,3,4
201222,4,822,34,89
201222,5,179,0,5
201222,6,356,7,2
201222,7,130,0,0
201222,8,239,4,5
201222,9,498,13,13
201222,10,261,10,22
201223,1,117,0,0
201223,2,103,1,0
201223,3,217,1,1
201223,4,814,30,105
201223,5,153,0,1
201223,6,326,4,3
201223,7,162,0,0
201223,8,264,1,2
201223,9,279,5,5
201223,10,234,3,5
201224,1,113,0,0
201224,2,108,2,3
201224,3,197,2,1
201224,4,752,36,89
201224,5,152,0,4
201224,6,302,4,3
201224,7,156,0,1
201224,8,234,3,3
201224,9,349,7,7
201224,10,208,2,15
201225,1,100,0,1
201225,2,86,0,0
201225,3,215,2,0
201225,4,619,15,60
201225,5,133,0,1
201225,6,326,3,3
201225,7,133,0,0
201225,8,214,0,0
201225,9,280,6,2
201225,10,177,2,4
201226,1,107,0,0
201226,2,96,1,0
201226,3,178,0,2
201226,4,593,21,70
201226,5,107,0,1
201226,6,264,0,0
201226,7,137,0,0
201226,8,104,0,0
201226,9,280,0,2
201226,10,154,0,3
201227,1,101,0,0
201227,2,81,0,0
201227,3,180,0,0
201227,4,473,13,30
201227,5,62,0,0
201227,6,241,0,1
201227,7,111,0,0
201227,8,174,0,0
201227,9,227,5,3
201227,10,114,0,2
201228,1,95,0,1
201228,2,62,1,0
201228,3,187,0,0
201228,4,421,14,27
201228,5,88,0,0
201228,6,281,2,0
201228,7,137,0,0
201228,8,180,0,0
201228,9,210,0,0
201228,10,120,0,0
201229,1,84,0,0
201229,2,74,0,0
201229,3,168,0,0
201229,4,421,11,20
201229,5,103,0,0
201229,6,298,0,1
201229,7,145,0,0
201229,8,208,0,0
201229,9,218,0,1
201229,10,127,0,0
201230,1,98,0,0
201230,2,70,0,0
201230,3,188,0,1
201230,4,402,9,10
201230,5,78,1,0
201230,6,268,0,1
201230,7,103,0,0
201230,8,206,1,0
201230,9,201,3,2
201230,10,138,0,0
201231,1,120,0,0
201231,2,58,0,0
201231,3,169,0,0
201231,4,368,4,14
201231,5,73,1,0
201231,6,296,0,2
201231,7,118,0,0
201231,8,205,0,0
201231,9,243,7,0
201231,10,105,0,1
201232,1,96,0,0
201232,2,66,0,0
201232,3,177,0,0
201232,4,370,6,9
201232,5,80,0,0
201232,6,312,1,2
201232,7,122,0,1
201232,8,187,0,0
201232,9,248,5,1
201232,10,124,0,0
201233,1,110,1,0
